,id,age,checking_status,class,credit_amount,credit_history,duration,employment,existing_credits,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,foreign_worker,housing,installment_commitment,job,num_dependents,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,residence_since,savings_status
941,942,28,200,0,4242,'no credits/all paid',30,4,2,0.3463479419322361,0.5625924249481458,1.5990842674227352,0.5077221229038488,0.7063958610742458,1.416649831175595,1.0391730151504188,1.267589253172018,1.1387526426474333,0.7176729889699016,yes,own,2,skilled,1,none,none,none,'female div/dep/mar',car,business,1,'<100'
71,72,34,-1,0,1833,'delayed previously',21,7,2,0.3227204273522334,0.7054732253511385,0.4963258024714592,0.5156681681184271,0.6337836115064748,1.372750792080835,0.9372515017310676,1.1576894431865727,0.9969222472704174,0.2930856956589431,yes,own,4,'high qualif/self emp/mgmt',1,none,none,none,'male single','real estate',furniture/equipment,3,'100<=X<500'
1407,1408,32,-1,0,3178,'existing paid',24,10,1,0.478514359873212,0.4582177571655711,0.5779655739282679,0.2460220052369097,0.1835692314587862,1.3580270675518902,1.325493919460396,0.612006823023393,0.961329897410922,0.3086186549997257,yes,rent,4,skilled,1,none,none,yes,'male single','no known property',furniture/equipment,3,'500<=X<1000'
259,260,49,200,0,3758,'critical/other existing credit',12,1,2,0.3790988348636158,0.5668059367448081,1.007819731724888,1.3990615075875308,1.0457397621315474,1.3042189873597545,0.7160459154473245,1.0305920636981316,0.4261515999285861,0.6887327958001537,yes,own,1,'unskilled resident',2,none,bank,none,'male single','real estate','new car',3,'<100'
51,52,25,-1,0,1425,'existing paid',22,7,1,0.4190529455626854,0.3705554922038066,1.2256787397878428,1.2674171741198403,0.427237051112619,1.3533994023247211,1.1970845540137756,1.2297402193235656,0.5422059317315006,0.5877205979941136,yes,rent,4,skilled,1,none,none,none,'female div/dep/mar','life insurance','new car',4,'no known savings'
198,199,41,-1,0,4062,'critical/other existing credit',24,10,2,0.3963377091293112,0.7525787112085565,1.3951191232195748,1.541077190402125,0.9080705527574064,0.7672944167736385,0.61085251027483,0.617739995106014,0.6107803669878764,0.6898445200696007,yes,rent,4,'high qualif/self emp/mgmt',1,none,none,yes,'female div/dep/mar',car,'used car',2,'<100'
1788,1789,29,-1,0,1053,'critical/other existing credit',18,4,2,0.3481989790178683,0.5473042778717454,1.0146370388150832,1.4550809375236082,1.0240595213432957,1.1189356397618415,0.960485071268716,1.5577765977527998,1.330745244835284,0.543042646446229,yes,own,4,skilled,1,none,none,yes,'male single','life insurance',radio/tv,3,'no known savings'
650,651,49,-1,0,5400,'critical/other existing credit',12,10,1,0.2196763697145096,0.609323216232056,1.611565853021221,0.7754747899895169,1.0730584517814843,1.1051247662152353,1.4180628014703949,1.056665357313482,1.1761332216906435,0.642771348978094,yes,rent,2,skilled,1,none,none,yes,'male single','life insurance',furniture/equipment,4,'no known savings'
332,333,30,200,1,800,'existing paid',9,4,1,0.5151468372406236,0.4842696455852768,0.7187599757411768,1.2098890924999708,1.3682400777990815,0.8664074502616375,0.8056988658169624,0.8264731848217581,1.0909644180113025,0.2596093865592002,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','life insurance',furniture/equipment,1,'<100'
1359,1360,43,0,1,1686,'delayed previously',24,-1,2,0.49193932159888,0.5366130675929035,0.6817682561139669,0.8946652062748364,1.2048861976368423,0.836363139266049,1.4920608470685686,0.8296767656030586,1.2899331668751668,0.4287936131882459,yes,'for free',4,skilled,2,none,none,none,'male single','real estate','new car',2,'<100'
593,594,28,0,1,1284,'no credits/all paid',12,7,2,0.4017843078057081,0.715635856047168,1.4624758139787004,1.2599438824879203,0.7639227642977804,0.8614660244066081,1.0632752744359304,0.6093227786673847,0.7780739601218084,0.4124003402325714,yes,own,4,skilled,1,none,none,none,'male single','real estate',repairs,3,'<100'
1391,1392,53,0,1,459,'existing paid',12,1,1,0.5733795080772667,0.2140978430194845,0.6131577063324481,0.3669987965925997,1.6309981778388452,1.4934227478831947,1.2145017815874375,1.358368538236122,0.8814343606072241,0.1347076462226468,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','life insurance',education,4,'<100'
1800,1801,46,-1,0,6701,'critical/other existing credit',24,4,2,0.1255188204113756,0.6459967083665187,1.1116704989436794,1.4147352949744612,0.6529351238900922,0.8959085453036685,0.6358096496509409,0.6675089557774426,0.7325249536662866,0.4969676819755749,yes,own,2,'high qualif/self emp/mgmt',2,none,none,yes,'male single','life insurance','used car',4,'no known savings'
1314,1315,41,-1,0,3241,'existing paid',21,10,1,0.4373833293163686,0.5523205173189965,1.206796988957572,1.3547775968377795,0.4465415029156317,0.8458871589055739,1.0197406255929158,1.3627082516882556,1.290777536819662,0.6738074003929717,yes,own,4,skilled,1,none,none,yes,'male single','life insurance',radio/tv,3,'no known savings'
1111,1112,21,0,1,1170,'existing paid',12,7,1,0.4143050629213012,0.6091897285725661,0.5587811978355219,0.7707008006915592,1.545996319353504,1.655249138069676,1.3548793590697148,0.5758131846101884,0.9461983864498796,0.5988366122578855,yes,rent,4,skilled,1,none,none,none,'male mar/wid','life insurance',retraining,4,'<100'
1006,1007,38,200,0,3417,'existing paid',24,7,2,0.8498147544451514,0.5082121454948789,1.3518271113395524,0.5298216084762242,1.0844696692384623,0.560784959707997,1.0392072348332044,1.1289715186861289,1.122700920998519,0.6404413494224406,yes,own,2,skilled,1,none,bank,yes,'male single',car,'new car',3,'100<=X<500'
1326,1327,47,-1,1,2150,'delayed previously',24,10,2,0.7873987996729713,0.3670202945538108,0.8889501654683712,1.3036591409003702,1.4068398130226354,0.8659684591270822,1.6617685840000034,0.4619470201323302,0.7148360199710513,0.4737830423473854,yes,own,4,'unskilled resident',2,none,none,none,'male single',car,'new car',4,'<100'
426,427,33,0,1,860,'existing paid',12,1,1,0.8588361041210468,0.6035089310182421,1.0600346075859304,0.9637220340383876,1.1934690148434,0.7084031019632306,1.1953320407150905,1.146287844546095,1.3003914352309602,0.3598790148178997,yes,own,4,'unskilled resident',1,none,none,yes,'male mar/wid','no known property',radio/tv,3,'100<=X<500'
1558,1559,21,200,1,3034,'existing paid',45,4,1,0.3722704046386826,0.5570265757398942,1.28067729205736,1.427146944268333,0.7299019164966369,0.9857782233789888,1.2554154863768865,1.0940131398938453,1.0810702415526898,0.5585463012307204,yes,rent,4,skilled,1,guarantor,none,none,'male single','life insurance',radio/tv,4,'100<=X<500'
1293,1294,35,-1,0,5125,'existing paid',15,10,1,0.5913696975666783,0.6823304258379098,1.163930711674933,0.4246388601852279,0.6072697914441438,1.1830425483184517,1.089870217773833,0.7016827010800323,1.2064822725866784,0.5251704941187194,yes,'for free',1,skilled,1,none,none,none,'female div/dep/mar','no known property','new car',4,'500<=X<1000'
590,591,25,0,0,3550,'existing paid',18,7,1,0.304079389370706,0.8051426790329246,1.2644619547992344,1.4770418507183796,0.8057068723595896,1.3065953032768751,0.6120001010647378,1.5732176994732106,1.248451424024581,0.377002019701963,yes,own,4,skilled,1,guarantor,none,none,'female div/dep/mar','real estate',radio/tv,1,'<100'
1957,1958,37,-1,0,1928,'existing paid',12,4,1,0.3920495356719365,0.7732577707417215,1.0971988337127558,1.6171881421290215,1.174412057198769,1.2271753411642794,0.5747211530321574,1.3483580215878743,0.5222626829394087,0.687583963408702,yes,'for free',4,skilled,1,none,none,yes,'male single','no known property',radio/tv,4,'no known savings'
1976,1977,44,0,0,1343,'critical/other existing credit',15,10,2,0.4607364169471573,0.6121370697869989,1.1463092405833053,0.4451143026192855,1.2572218955784291,0.9127147656087404,1.2979106460475969,1.176736482968018,0.6051353912153281,0.7161979007334731,yes,own,4,skilled,2,none,none,yes,'male single',car,furniture/equipment,4,'<100'
1132,1133,44,0,1,3176,'critical/other existing credit',6,4,1,0.3953578838125993,0.5528095218400526,1.059935227866306,1.2158596377028048,0.5468541640187214,0.725931630807705,0.6389066232753182,1.2410613953718272,0.6200672636198874,0.3565423580317238,yes,rent,1,'high qualif/self emp/mgmt',1,none,none,yes,'male div/sep','real estate',furniture/equipment,4,'<100'
985,986,25,200,0,604,'existing paid',18,4,1,0.6412654459074553,0.6549478706587422,1.480934870537746,1.0131277746220464,0.8820708240054631,0.960008981392524,0.9527280287308316,0.7224641326909466,1.3447521503412636,0.5998405151861872,yes,own,4,'unskilled resident',1,guarantor,none,none,'male mar/wid','real estate',radio/tv,2,'<100'
398,399,21,200,0,2422,'existing paid',18,4,1,0.5843869609722984,0.4699803713782311,1.2277856194487038,1.189144748618873,1.66835224626218,1.5082812119765563,1.1355935992416053,1.1584651942287896,0.8290216657830802,0.6622458041477337,yes,rent,1,skilled,1,none,none,yes,'male mar/wid',car,'used car',3,'<100'
1511,1512,35,200,0,3846,'existing paid',21,7,1,0.3738481189476204,0.560317970492239,0.838712462291645,1.1393738127783617,1.230453918027382,1.125205512032819,0.6812053146714653,1.4205482760985446,1.1126471454359832,0.379899494473305,yes,own,2,skilled,1,none,none,yes,'male single',car,furniture/equipment,3,'no known savings'
436,437,28,200,1,4001,'critical/other existing credit',30,-1,2,0.2544155073007766,1.0,1.6026279361939617,1.159118028892266,1.2298273378427182,0.4194255276957969,1.2159581022215349,1.5870636484248657,1.1757363928863889,0.2314562251595283,yes,own,4,'high qualif/self emp/mgmt',1,none,none,none,'male mar/wid',car,'new car',2,'<100'
192,193,27,0,0,3310,'existing paid',27,4,1,0.3835908171046164,0.5785906400408873,1.046734078007254,1.0110157617798443,0.9414901213225584,0.5943523268256012,1.321083692155425,1.0229584824128364,1.344782244895152,0.4412359433099106,yes,own,3,'high qualif/self emp/mgmt',1,none,none,none,'male single',car,radio/tv,2,'<100'
1435,1436,51,400,0,3234,'existing paid',24,10,1,0.5971445287797447,0.5891418237217724,1.204459038369879,1.237770494576648,1.387992288199311,1.3642025823486854,0.7536701673201757,1.1458220294908932,0.7990804119710695,0.6220923871466804,yes,'for free',3,skilled,1,none,none,none,'male div/sep','no known property',furniture/equipment,4,'<100'
614,615,38,-1,0,2881,'critical/other existing credit',48,10,2,0.566872884634658,0.6167885710267684,0.7244039662903923,1.3278209449272198,0.9121080555117632,0.2929990390777166,1.3053546969188292,0.7295705413611304,0.8706160683910676,0.4761492120311275,yes,own,4,skilled,2,none,none,yes,'male single',car,'used car',3,'no known savings'
1493,1494,24,200,1,281,'all paid',6,1,1,0.6662728944946674,0.7985485452459405,1.3427939752497595,1.4163817459155474,1.2061428719992615,0.9035556561407628,0.9858246144164292,0.879280482106814,1.251518053291939,0.4819830039940395,yes,rent,4,skilled,2,none,bank,none,'female div/dep/mar','life insurance',education,2,'>=1000'
576,577,26,400,0,2172,'existing paid',24,4,1,0.3601773442204781,0.4888952307911124,1.0929066966454644,1.2308248952611338,0.4081963402643347,0.6163973871149788,1.0174958290327445,1.209086025728904,1.2392348598952845,0.2701955052996512,yes,own,2,skilled,1,none,none,none,'male single','real estate',furniture/equipment,2,'<100'
986,987,31,200,1,1509,'critical/other existing credit',24,10,2,0.304916780440978,0.577941101010642,1.350219157732638,0.483884301557878,0.545297828783013,0.5805251099757951,1.3345533403882526,0.969505954322346,1.0069912665885776,0.6067098555009539,yes,own,4,skilled,1,none,none,yes,'male div/sep','real estate',business,4,'<100'
1432,1433,31,-1,0,1577,'critical/other existing credit',15,4,1,0.4740837883289677,0.5569073312856598,0.8924000117605047,0.6565484290093955,0.8080120909943341,0.6390366401671405,0.5608611250276101,1.2919330129905005,1.1039179191337878,0.7701687943920846,yes,own,4,skilled,1,none,none,none,'female div/dep/mar',car,education,3,'100<=X<500'
706,707,33,-1,0,3468,'existing paid',15,7,1,0.460278005367359,0.5435683479203599,1.545485474075421,0.848012998980719,1.2476399057767051,0.7287133881095713,0.5625362287686471,1.0716421475358329,0.8825496266243114,0.4722693695317274,yes,own,2,skilled,1,none,none,none,'male single',car,'used car',2,'<100'
1258,1259,49,0,0,1101,'critical/other existing credit',10,7,2,0.5925584978154553,0.5643844154476071,1.3759467026939125,1.2865651366804256,0.9004140209548063,0.7759536216238146,1.2186135138097578,1.0617025544913206,1.2117672714677723,0.5403963508115777,yes,own,4,skilled,1,'co applicant',none,yes,'male single','life insurance','new car',3,'<100'
141,142,40,200,1,4168,'delayed previously',18,10,1,0.5156407486861398,0.675488797791696,0.9409646318157932,0.717442852038448,0.9909510299039684,1.457197273785885,1.0406856654824126,0.4250430732444726,0.7990077416775309,0.500405021813873,yes,own,4,'high qualif/self emp/mgmt',1,none,none,yes,'male div/sep','no known property',furniture/equipment,3,'<100'
1357,1358,28,200,1,3179,'existing paid',48,7,2,0.5022534011211306,0.4865569216372424,1.4664402340185043,1.208167903411391,1.3690378530951142,0.5743003172538488,1.320479554255112,1.4303873505152245,1.0383669453067847,0.389281340690791,yes,own,4,skilled,1,none,none,none,'male single','real estate',radio/tv,4,'<100'
2,3,32,-1,0,1502,'critical/other existing credit',10,10,2,0.286838158882139,0.5417555294704949,0.9573404274735576,0.8559037808774085,0.5442960924239839,1.1403187777864612,1.0389058783350626,1.497293446312944,1.130536242809448,0.481873666828056,no,own,3,'unskilled resident',2,none,none,none,'male single','real estate','new car',4,'<100'
1221,1222,44,-1,0,2257,'delayed previously',24,4,2,0.1601305158313452,0.6508620290883272,1.0431169912445462,0.6020195578688813,1.6592636573662525,0.6299391156690735,1.2000382009519348,1.439025492054533,0.8831695137924362,0.7062272636455764,yes,own,4,skilled,2,none,none,yes,'male single',car,business,2,'500<=X<1000'
1869,1870,42,0,1,3328,'existing paid',36,10,1,0.6087209185836226,0.7032099690998459,1.7007041936400729,1.45281939929518,0.8538192429554512,0.5195912829459195,0.7918826363162613,1.4352843319532669,1.1224922233392547,0.4598255364797043,yes,own,4,skilled,2,none,none,none,'male single',car,furniture/equipment,2,'<100'
1622,1623,23,200,0,1327,'existing paid',15,1,1,0.3820215708784363,0.6127829712672703,0.644979747353547,1.0952964153560851,0.5058040077572399,0.9346492860875932,1.4965641556720677,1.444078806558314,1.1603605298831177,0.3841373286536363,yes,own,4,skilled,1,none,none,none,'male single','life insurance',radio/tv,1,'no known savings'
339,340,31,0,0,2876,'no credits/all paid',18,7,1,0.3975793086531173,0.7926552766652545,1.0365037744086658,0.6241076513652722,0.9564775937967204,1.502439421978342,0.8189690954121208,0.5589288505235233,0.6321123496145966,0.4817499849486228,yes,own,3,skilled,1,none,bank,yes,'male single','life insurance',business,1,'<100'
1769,1770,36,-1,0,710,'existing paid',36,10,1,0.2228457260147258,0.7196326487783469,0.3138236594970165,1.3828964593848148,0.5544363032612541,1.0280838015698923,0.7173728885223698,0.6846284433389823,0.9599102475589076,0.6007601217021357,yes,own,4,skilled,1,none,none,none,'male single','life insurance','new car',4,'500<=X<1000'
1536,1537,23,200,0,1449,'delayed previously',24,7,2,0.638289044228893,0.6312591703942112,1.1034383443420177,1.1267093082210362,0.8583383372017924,0.8516739601665898,0.7509504544351432,0.9109098046688948,0.7834223953149173,0.5584209691489199,yes,rent,3,skilled,1,none,none,yes,'female div/dep/mar','life insurance',radio/tv,2,'100<=X<500'
483,484,26,400,0,3016,'existing paid',15,7,1,0.3475429419042152,0.5695899399276144,1.0882425225825965,0.8974390088811683,1.0171220345646814,1.068869740814268,0.4149355707845525,1.0740550819143766,0.6767125938733898,0.4225457764164585,yes,rent,2,skilled,1,none,none,yes,'male single','life insurance',business,4,'<100'
265,266,46,400,0,1250,'critical/other existing credit',6,10,2,0.4663617572020892,0.5845620508802707,1.474027767216633,1.0587593651082592,0.8831883896828898,1.4361217371581394,0.6838387906819743,0.9167702181446962,0.6827384515699552,0.7149073947103253,no,own,1,skilled,2,none,none,none,'male single','real estate','new car',4,'<100'
376,377,32,0,0,2088,'critical/other existing credit',18,7,2,0.5483940859304862,0.6503512929099151,1.3163631951744146,0.8376309351132744,0.4881026638874458,0.6502474481660332,1.080552334551263,1.0387233036710393,1.105355450776503,0.3131814883179922,yes,own,4,'high qualif/self emp/mgmt',1,none,none,yes,'male mar/wid','life insurance',radio/tv,1,'<100'
741,742,25,0,0,7815,'no credits/all paid',30,1,3,0.2692560733842373,0.6668027739335237,0.5435529999712545,1.269225376894199,0.5536975319023099,0.6280022340918363,0.3397870537874089,1.4123285971244453,0.484833560593704,0.2750332150697918,yes,own,2,skilled,1,none,bank,none,'male single',car,business,3,'no known savings'
1013,1014,29,0,0,3371,'existing paid',12,4,1,0.1425620929403094,0.4248961425357082,0.9496999756016224,0.5109896136866253,1.3760863142198931,1.109465899437182,0.6608019470789641,0.63482183383852,0.8468891820614919,0.5133404855754897,yes,own,2,'unskilled resident',2,'co applicant',none,none,'male single','life insurance',furniture/equipment,2,'<100'
439,440,64,200,0,915,'existing paid',6,4,1,0.4544669684911158,0.3476661235970489,1.035639629130644,0.4402780334224065,0.9579467715458456,0.5704823099407654,0.420049427661954,1.1707486253541446,1.1436934654785582,0.776616899358284,yes,own,2,skilled,1,guarantor,none,none,'female div/dep/mar','real estate',radio/tv,3,'<100'
271,272,27,-1,0,714,'delayed previously',14,4,2,0.4662152744925198,0.5535065679639902,1.5786514151309374,0.8251369538476214,0.8050535927983504,0.3150098352487946,1.5264586560477738,1.2742683795076646,1.1667312756497754,0.5520124590206812,yes,own,4,'unskilled resident',1,none,none,none,'male single',car,'new car',2,'<100'
184,185,29,200,0,2616,'delayed previously',24,1,1,0.6873069687099227,0.5698725982578391,0.9009039701266874,0.9652092752217272,1.3672314417362184,1.1409886113503362,1.3476104077016535,1.541707143052654,0.6481280398958811,0.5975869103484085,yes,own,4,'unskilled resident',1,none,bank,none,'male single','life insurance',furniture/equipment,2,'no known savings'
939,940,26,400,0,3373,'existing paid',24,1,1,0.3173825920196056,0.5691707172763006,0.8049522940715776,0.5811496872008228,0.8056372212906434,1.4292349152679096,1.0168402560687535,1.1108015536914038,0.956549320425544,0.403037428981742,yes,own,2,skilled,1,none,none,none,'female div/dep/mar',car,furniture/equipment,4,'<100'
244,245,27,-1,0,3677,'all paid',48,4,1,0.4307930347177571,0.634158476451299,0.9286601856394826,1.136844636253843,1.5264561783719257,1.3908241372409564,0.6052000618045227,0.8898380590254055,1.0543028026782673,0.493197505924645,yes,own,1,skilled,1,none,stores,none,'female div/dep/mar','real estate',business,1,'<100'
931,932,23,-1,1,1983,'existing paid',18,1,1,0.5704992760426815,0.4909081296784535,0.9443530831515246,0.3841808964286708,1.4990762799745423,1.5414834102260475,0.5580810025334503,1.0159564405250754,0.7754019166467051,0.3953000282272917,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','real estate',repairs,4,'<100'
445,446,55,0,1,6572,'all paid',24,1,1,0.6823041763542376,0.4989827616472778,0.8938662639674592,0.8172325793761762,0.8155011056015725,1.3743916320804677,0.6475408389857719,0.7967023817175971,1.3382526428822152,0.2680168452472673,yes,own,2,skilled,1,none,bank,yes,'male div/sep','life insurance',furniture/equipment,1,'<100'
596,597,33,400,0,6282,'no credits/all paid',42,1,2,0.5029950650116785,0.4032795032392792,0.953992084305923,1.1370699742684267,1.4217457547923769,1.5740924011144872,1.1048268315189644,0.8157760852180802,0.9328072288056652,0.2677551528199094,yes,own,2,skilled,1,none,none,none,'male div/sep','life insurance',business,1,'<100'
817,818,28,0,0,2608,'existing paid',18,4,1,0.6220091374384992,0.6951457956366507,0.6470617916516932,0.5204678659790531,0.858933988245204,0.6720916240990789,1.2594506941051535,1.3268870229799892,1.0532803596292215,0.4651671318714627,yes,own,4,skilled,1,none,none,none,'male single',car,furniture/equipment,2,'>=1000'
1272,1273,47,400,0,3054,'critical/other existing credit',30,10,1,0.1952529247308086,0.6285782118342746,0.6625346985130216,0.76639328519611,1.695919390579299,0.5983647313224223,0.6265237484532492,0.9602232105951006,0.6734800206754944,0.6758671443233626,yes,own,4,skilled,1,none,none,none,'male single','life insurance',radio/tv,4,'<100'
1676,1677,21,-1,0,1275,'existing paid',18,1,1,0.3037897196125224,0.6328164252765969,1.0489302496840178,1.1912520877083592,0.953483890962976,1.1723474964022766,1.2221069235659785,1.6048079942114326,1.1280007293361618,0.5348115199914414,yes,rent,4,skilled,1,none,none,yes,'female div/dep/mar','real estate',radio/tv,2,'no known savings'
486,487,30,200,0,1735,'existing paid',12,4,1,0.2881069511390356,0.5684456024073161,1.1304722191643486,1.0056098844679036,0.7904272684157355,0.4661301746342072,0.7650145436372284,1.281250917987535,1.5048402689061664,0.7699206473826219,yes,own,4,skilled,1,none,none,none,'male single',car,'used car',2,'no known savings'
680,681,30,0,0,14255,'critical/other existing credit',39,7,2,0.6383517890322342,0.7081165253993408,0.6977249633487395,0.5256050150937426,0.5388656764480388,0.2080852951882542,1.1844717501066009,1.353269942424696,1.3367408507849707,0.4503590469604825,yes,own,4,'high qualif/self emp/mgmt',1,none,none,yes,'male single','life insurance',furniture/equipment,4,'no known savings'
415,416,62,-1,0,3678,'existing paid',24,10,1,0.4650760547963245,0.5548919538127186,1.2975676670415588,1.012805325473265,1.062979725051719,0.8140317993965999,0.5643768586408772,0.9897679862478418,1.156806859796626,1.0,yes,'for free',4,skilled,1,'co applicant',none,yes,'female div/dep/mar','no known property','new car',4,'<100'
273,274,34,-1,0,1633,'existing paid',18,7,2,0.3308733376802112,0.7945444588496157,1.2703263760210723,0.6387468549193038,1.3172801659822109,1.195825013685779,1.3423868956734075,1.5900115306586788,0.5661614817803149,0.4267962341013689,yes,own,4,skilled,1,none,stores,yes,'male single',car,business,1,'<100'
1471,1472,47,200,0,2279,'delayed previously',21,4,2,0.2758489855099323,0.636734076500059,0.8093721829570981,0.669855778275865,1.1792946813607972,0.3865396455784355,0.7030665234133684,0.6632001949152087,0.5829202793721974,0.5845872976169599,yes,own,1,skilled,1,none,none,none,'male div/sep','life insurance','new car',4,'<100'
1829,1830,24,200,1,404,'all paid',6,1,1,0.4544301533492494,0.5336761654095811,1.3329074270056631,0.6815691791194012,1.2859177156165984,0.7587451499581899,1.2131958394056823,1.405351356719417,0.9159901945847344,0.2506270313065764,yes,rent,4,skilled,2,none,bank,none,'female div/dep/mar','life insurance',education,2,'>=1000'
1454,1455,28,400,1,797,'critical/other existing credit',12,7,3,0.4642213249612931,0.6328492862984443,0.9893653518242382,1.2085029820003388,0.9397839016249506,1.2781722084048663,0.9724693601374048,1.1433831894053532,0.7195714357840342,0.3921711829663971,yes,own,4,skilled,1,none,none,yes,'male mar/wid','real estate','new car',2,'500<=X<1000'
250,251,31,0,1,3109,'all paid',36,10,1,0.4071407269218533,0.6192041265260035,1.0443804179657128,0.7450528296893704,1.3902263747535826,0.5267788764323361,1.4334305874021878,1.5062325951121198,1.389009983967568,0.8655034702515794,yes,own,4,skilled,1,none,bank,none,'male single',car,furniture/equipment,4,'<100'
413,414,23,400,0,1028,'existing paid',12,4,1,0.4791688219873757,0.4994766564191989,1.235994845845155,0.7446037749049405,0.9125159945330816,0.6266408337352825,0.5717586679003498,1.5060766135336785,1.4727631929590648,0.4725113811464233,yes,rent,3,skilled,1,none,none,none,'male mar/wid','real estate',radio/tv,4,'<100'
1385,1386,30,200,0,3043,'all paid',48,7,1,0.444149112001209,0.6615810762908981,1.0036652062010925,0.8040443059581053,1.1667364868124768,1.015091998945679,0.4173144359372859,1.7048829564224728,0.4903688512995917,0.5350471650415134,yes,own,4,skilled,1,none,none,none,'male single',car,business,2,'100<=X<500'
